,S#,C#,GRADE
18293,06091767,BO-05,72.8
18294,05013203,ID-04,70.8
18295,01032709,MC-20,95.6
18296,05076597,MC-09,87.1
18297,05031283,JS-09,69.1
18298,08012361,PY-02,72.1
18299,09041073,JS-02,54.8
18300,07082863,AS-40,75.5
18301,07027376,BO-05,82.8
18302,01011896,AC-20,65.7
18303,06031626,JP-16,71.5
18304,08033279,MC-18,73.9
18305,07068119,PY-02,67.0
18306,04012479,CS-13,77.4
18307,07084759,JS-28,90.8
18308,02037026,EE-29,94.0
18309,06032530,EP-09,
18310,08072608,MG-23,80.0
18311,01073626,EE-29,76.9
18312,05050351,EP-03,78.6
18313,05060547,EP-09,73.2
18314,01029406,CS-13,80.3
18315,06061345,CE-03,83.0
18316,09037159,EE-13,80.8
18317,07033528,CI-01,69.4
18318,01095661,JP-16,75.7
18319,02039266,JP-26,77.7
18320,06044567,EM-31,60.3
18321,07015083,RS-02,
18322,02069894,EE-13,83.2
18323,06096451,EL-30,79.4
18324,07085325,AT-31,75.7
18325,03076960,CS-13,
18326,08024911,EG-03,
18327,03087084,IF-03,64.5
18328,07048403,FA-54,61.3
18329,02020140,LT-01,74.5
18330,07039838,IF-01,
18331,07085726,CE-03,67.7
18332,09046233,BS-23,53.7
18333,05077130,BS-16,78.4
18334,05069060,IF-01,78.4
18335,04047306,BS-23,
18336,09015315,BO-01,80.7
18337,07084759,BS-01,75.4
18338,01017285,AT-31,87.5
18339,08093602,SO-01,82.3
18340,07092967,IT-44,
18341,09072324,BS-16,75.1
18342,09089945,SO-55,71.9
18343,02023143,EL-02,65.6
18344,02045481,IS-14,71.2
18345,06034255,AC-20,91.6
18346,08052127,ID-04,81.6
18347,08060753,SO-55,
18348,02092526,MC-37,
18349,01039597,EP-08,78.1
18350,02039248,CE-30,67.1
18351,08087402,EG-27,92.3
18352,01026132,EL-02,68.3
18353,02077226,MG-13,82.9
18354,05046008,AT-31,77.5
18355,03031972,AT-36,57.9
18356,03087084,MG-81,60.8
18357,07057396,EP-08,65.5
18358,07071929,PY-23,
18359,08044421,BS-37,58.1
18360,09046233,PY-02,70.3
18361,07085325,PY-38,74.5
18362,02047483,JS-09,74.7
18363,08088780,MT-26,57.1
18364,08035677,JP-16,81.5
18365,06099227,PY-49,49.2
18366,04061598,MG-01,79.7
18367,08092153,MR-02,
18368,03069811,MR-04,95.1
18369,04083011,EG-06,73.5
18370,07073965,EL-02,85.2
18371,09051620,JP-20,76.1
18372,08058283,BS-01,73.7
18373,06069665,PY-25,100.0
18374,05069060,MG-01,80.2
18375,04079885,CS-11,63.2
18376,06031626,IF-03,66.7
18377,04018490,JS-09,
18378,03095871,BM-02,74.7
18379,02057349,PY-49,78.0
18380,02038267,BS-23,86.7
18381,03074698,AT-06,
18382,06054260,JP-16,69.0
18383,02027908,MM-10,73.0
18384,04012923,NC-11,73.9
18385,06011664,SO-55,71.2
18386,08075485,EN-26,57.7
18387,08017492,MM-10,81.5
18388,04024533,CE-30,
18389,08065005,MR-04,76.3
18390,03074698,EG-03,92.7
18391,04068686,EL-27,65.6
18392,07079141,IS-01,63.1
18393,09081739,MR-04,
18394,07021484,JS-28,82.2
18395,06044567,MC-20,84.8
18396,08049761,PY-36,85.3
18397,01041353,BO-05,82.0
18398,08089024,AT-22,79.5
18399,02031402,PY-38,79.5
18400,05034855,MR-04,58.9
18401,04056678,AT-36,86.3
18402,05046008,MC-18,79.8
18403,02010978,BS-31,57.4
18404,09083156,MC-18,73.4
18405,03087084,CE-30,100.0
18406,03064155,BM-43,93.4
18407,08072608,PY-23,81.3
18408,07044421,MG-13,65.0
18409,03067387,EM-31,
18410,01011402,JS-09,74.0
18411,04071030,AC-03,87.1
18412,03053523,CN-05,82.9
18413,01019846,LT-01,58.0
18414,09035660,SO-55,93.0
18415,03056662,SA-01,73.4
18416,08024911,EE-13,82.2
18417,09068313,ER-22,71.0
18418,06083038,JP-16,80.3
18419,09019807,LW-32,74.2
18420,04074973,EP-09,82.0
18421,09046199,BS-16,71.0
18422,02026771,MT-07,78.8
18423,07034554,IT-44,85.1
18424,08056892,IS-01,55.8
18425,05097628,LW-37,61.0
18426,08055922,PY-01,76.5
18427,01041037,EG-06,51.4
18428,08012838,ML-05,72.5
18429,09081739,CS-13,48.2
18430,06076952,AC-24,76.2
18431,03020253,EL-02,84.9
18432,09078606,MC-09,61.2
18433,04026586,EE-33,
18434,08078198,SA-01,58.8
18435,01032974,CE-19,69.7
18436,08066942,PY-36,72.8
18437,08087260,MG-81,88.1
18438,03010600,PY-05,73.7
18439,09036831,IS-14,
18440,01033611,ML-05,62.1
18441,03017596,PY-49,74.0
18442,07092967,AC-24,
18443,07091634,MG-23,70.5
18444,09011448,IF-03,72.9
18445,03074698,IF-32,71.8
18446,06057480,ER-22,87.1
18447,04033242,AC-03,64.5
18448,01018628,EP-03,85.3
18449,07015108,MM-66,84.6
18450,04017472,JP-20,84.1
18451,09078606,FA-54,88.0
18452,05076597,JS-09,65.9
18453,02087815,LW-26,73.7
18454,06011024,EN-26,89.5
18455,01011626,BM-02,77.6
18456,06027838,JS-09,56.3
18457,04077368,BO-01,60.1
18458,03017596,MM-93,81.3
18459,04057002,BS-52,78.7
18460,04027619,MG-81,64.3
18461,07081403,JP-11,84.6
18462,08049761,MT-26,
18463,04080246,SO-01,81.0
18464,01075029,MG-81,66.2
18465,08019798,MT-26,67.7
18466,01091559,AC-20,74.9
18467,09017378,MT-26,78.4
18468,05014005,PY-36,
18469,01069558,MT-21,84.8
18470,06020005,ER-22,67.6
18471,05017953,CE-03,77.9
18472,04012321,EE-61,71.3
18473,09084909,NE-01,65.7
18474,08024279,EE-86,79.6
18475,08023766,JS-02,78.7
18476,01030040,BS-01,80.4
18477,08035177,EL-27,83.9
18478,06083026,MM-10,83.8
18479,03045296,MC-20,75.2
18480,07046428,MT-28,77.9
18481,05094850,LW-37,68.1
18482,08065005,ID-22,73.8
18483,03093911,MC-18,64.2
18484,08023622,CN-01,81.7
18485,08064572,EM-31,72.0
18486,05034440,LW-32,73.7
18487,08088780,NC-11,59.5
18488,05048692,JS-28,68.2
18489,03073426,MT-01,
18490,02077226,PY-36,
18491,03016320,PY-02,62.4
18492,07024810,EL-27,64.5
18493,04070766,MG-13,62.6
18494,01051513,BS-52,71.6
18495,09045686,EL-27,82.4
18496,04084568,AT-36,81.6
18497,03064155,CE-19,76.6
18498,02067409,NC-11,66.0
18499,08072608,AT-06,80.5
18500,07083399,AC-03,80.7
18501,03081873,EE-86,
18502,02016175,CS-11,71.4
18503,04039951,RS-02,64.9
18504,08067720,PY-25,90.1
18505,06071819,EM-31,67.8
18506,01041353,MR-04,87.6
18507,08039991,PY-36,
18508,07031837,MR-04,80.4
18509,08050314,MC-18,
18510,08052292,MM-93,60.6
18511,01096469,IF-32,72.1
18512,05045131,MM-02,79.5
18513,02089276,AS-40,85.7
18514,06045346,BS-02,66.2
18515,05074742,EP-06,72.2
18516,08049761,MC-37,85.8
18517,06082904,EM-31,85.4
18518,05076171,IT-44,80.7
18519,05039869,JP-20,76.9
18520,02049522,LW-05,82.1
18521,04064258,MG-25,84.1
18522,01071023,NE-01,83.3
18523,01029406,CE-30,62.2
18524,01028180,MT-07,
18525,02067425,CN-01,75.7
18526,04033242,JS-02,81.6
18527,06013441,ID-04,81.0
18528,04093598,ER-01,70.3
18529,06092000,MT-28,74.2
18530,05027472,ID-04,56.9
18531,09098143,JP-26,65.1
18532,05098124,BO-05,73.0
18533,08046279,BS-02,88.9
18534,01028180,ID-22,59.9
18535,04080246,EG-06,58.8
18536,05085088,JS-02,66.2
18537,09091934,MG-23,56.2
18538,05014005,EE-13,70.7
18539,06059017,CI-01,73.5
18540,09084909,LT-01,83.9
18541,08025229,MT-26,
18542,01013510,EP-08,65.3
18543,02035378,ER-05,77.7
18544,05013884,MT-26,78.9
18545,09097184,PY-38,77.3
18546,09029781,IF-01,71.2
18547,01019245,FA-54,68.5
18548,04012853,MG-01,74.6
18549,07012298,AT-22,44.2
18550,05093685,EL-30,68.7
18551,02040804,PY-38,78.4
18552,08087402,IF-32,62.0
18553,02029103,JP-16,
18554,09064551,CS-11,59.5
18555,07082361,EL-27,
18556,05052105,MG-25,77.8
18557,09046945,MC-20,81.3
18558,03094280,BS-01,72.9
18559,02031517,CN-01,83.9
18560,09054708,JS-28,82.3
18561,03024874,ER-01,80.5
18562,02054242,EE-13,84.2
18563,02049522,PY-38,70.6
18564,03043834,EP-03,73.3
18565,08096380,SA-01,92.8
18566,01041920,MC-09,78.4
18567,06065835,AT-31,85.2
18568,08079717,MC-20,75.6
18569,05061077,IT-44,82.7
18570,02046348,ER-01,83.6
18571,04012321,AT-22,80.1
18572,05054610,MT-26,61.8
18573,07073965,PY-49,
18574,08088780,MM-25,60.7
18575,01059997,IS-14,62.0
18576,08088780,EE-13,
18577,07077034,CI-01,79.6
18578,07069853,SO-01,65.7
18579,03068513,JS-02,65.0
18580,07049622,EL-27,97.5
18581,09081739,LT-01,
18582,08024443,BS-37,78.1
18583,07014580,MT-01,
18584,01033386,MM-10,54.2
18585,08056892,FR-05,74.8
18586,03075338,EL-02,71.5
18587,04097463,JS-28,86.5
18588,02032606,LT-01,55.4
18589,09050005,MC-37,83.9
18590,03059651,EP-06,86.4
18591,02038145,MM-93,67.7
18592,05027472,EP-08,84.9
18593,08070109,MM-93,71.3
18594,02090381,EN-26,78.9
18595,01015891,EL-02,69.8
18596,02039266,MG-13,76.7
18597,01030135,PY-01,
18598,02078416,CS-13,65.9
18599,01028591,EE-82,81.5
18600,04097576,BO-01,69.9
18601,09072324,MT-28,78.8
18602,09056888,MT-28,80.5
18603,08093602,MG-23,
18604,08081931,RS-02,82.9
18605,08074384,MC-09,84.2
18606,04027154,BS-01,70.8
18607,09036831,ER-01,76.2
18608,05051413,AS-40,58.0
18609,05075857,PY-01,62.9
18610,03043813,BS-52,67.5
18611,03040175,EE-61,90.4
18612,07086494,JP-20,62.5
18613,05041925,MG-23,89.8
18614,08019001,BS-23,77.1
18615,03061607,EE-82,
18616,01071019,IF-32,75.4
18617,05093685,EE-82,68.4
18618,01078246,EG-27,48.5
18619,08089024,EL-04,65.5
18620,02047881,MG-01,84.4
18621,02031517,CE-19,75.2
18622,07030136,AC-24,59.8
18623,09086924,EE-33,66.7
18624,08042737,IT-44,76.7
18625,06037185,MG-13,66.9
18626,07083399,EG-65,92.4
18627,03093911,MT-07,73.2
18628,03029810,MM-10,62.6
18629,09012360,PY-36,62.1
18630,08041727,CE-30,71.7
18631,06020525,EE-86,70.8
18632,09063417,NC-11,80.8
18633,03054101,MC-20,85.4
18634,02087922,SA-06,86.4
18635,07012474,MT-28,79.9
18636,04029677,NC-11,61.9
18637,09019807,NC-11,66.3
18638,01099962,FR-05,62.7
18639,07024810,EE-13,89.3
18640,05054610,SO-01,85.3
18641,05045976,IF-32,81.2
18642,06056744,MM-66,77.4
18643,09059763,ER-22,78.4
18644,04045789,AT-31,76.8
18645,07024946,ID-22,87.0
18646,08057513,EE-82,
18647,08072608,EE-13,86.3
18648,06024560,EL-04,62.5
18649,07035567,BS-23,54.6
18650,09047890,MT-26,85.0
18651,02098531,BS-16,59.8
18652,08078198,BO-01,91.5
18653,09061136,EE-61,79.7
18654,07047847,EN-26,80.3
18655,08096380,EL-02,61.9
18656,09070066,JS-09,86.7
18657,07091634,ER-01,63.1
18658,08035677,EL-30,70.7
18659,02090381,JS-09,69.1
18660,06028939,PY-05,65.7
18661,05011079,EE-82,
18662,09098143,AT-36,82.8
18663,06086271,ER-22,77.6
18664,08012648,PY-49,77.5
18665,01095661,PY-02,75.1
18666,07058084,AT-31,82.6
18667,05013884,BS-37,70.7
18668,06098713,AT-06,54.6
18669,08052127,JS-09,75.8
18670,02066535,LW-26,89.6
18671,01030040,MG-23,66.9
18672,06022297,EP-06,74.7
18673,01068571,NE-01,
18674,02032606,BO-05,68.4
18675,01019000,PY-38,73.1
18676,07022456,AT-36,65.3
18677,09047945,EL-04,87.6
18678,03016898,FR-05,88.8
18679,07095121,PY-01,60.7
18680,06091767,MR-04,63.4
18681,02087922,MM-02,66.3
18682,08014864,JP-20,75.7
18683,07046753,EG-06,
18684,06035344,JP-20,76.5
18685,05025057,EE-82,
18686,06011980,CS-11,68.7
18687,01017285,MR-04,70.0
18688,02089993,AS-40,90.2
18689,04073388,BS-52,71.6
18690,07079141,EP-06,79.9
18691,04012479,CI-01,90.6
18692,01096469,PY-36,77.0
18693,09060745,PY-23,64.5
18694,04097078,IS-01,73.9
18695,07046428,EL-02,73.8
18696,02017610,AC-03,70.6
18697,06020483,EG-06,71.0
18698,01015893,MM-10,71.7
18699,08050314,ID-04,82.2
18700,01053119,EP-09,62.6
18701,07030136,EE-82,68.8
18702,08015831,JP-26,70.0
18703,08070109,BS-01,88.1
18704,01052992,ER-01,76.9
18705,03036158,FR-05,83.4
18706,05029102,PY-36,85.5
18707,04046201,EG-27,82.9
18708,02049297,AC-03,87.9
18709,06090757,BS-31,60.7
18710,02099753,IF-32,76.2
18711,09054708,BO-01,83.7
18712,07064135,PY-05,93.1
18713,06024200,MG-01,65.5
18714,04087010,LW-26,68.2
18715,02087213,EL-30,
18716,08022145,JS-09,71.6
18717,05082521,EL-30,82.9
18718,04026586,EG-27,72.8
18719,06095862,AC-20,77.9
18720,07072132,ID-04,91.1
18721,06044567,AT-06,
18722,08069683,MT-07,79.1
18723,06086271,JS-02,72.6
18724,03047389,NE-01,69.7
18725,02014048,ER-22,
18726,03054101,EN-26,61.1
18727,06083038,MG-23,59.7
18728,06022297,BS-37,
18729,02016175,EE-33,84.5
18730,04029778,ML-05,67.0
18731,08086296,CE-30,65.5
18732,03012980,JS-02,74.0
18733,08038007,BS-02,82.5
18734,06077104,PY-23,72.1
18735,01015893,MM-25,78.0
18736,03068268,AC-20,75.8
18737,06064049,EE-61,85.6
18738,05094850,JP-11,
18739,08055922,IS-01,
18740,06057100,LW-32,82.5
18741,09072324,EG-65,76.5
18742,03038256,IF-01,72.4
18743,02072687,EL-02,88.0
18744,02049522,CE-03,56.9
18745,08012648,ID-04,78.3
18746,02092526,LW-26,85.2
18747,03076790,FA-54,82.5
18748,03041523,PY-05,66.7
18749,08089628,AT-22,
18750,04073790,MG-01,60.9
18751,05044897,SO-55,94.0
18752,08088780,PY-05,86.7
18753,02039829,CI-10,74.7
18754,06032799,JS-02,89.0
18755,02010978,BM-02,65.4
18756,06096451,IF-32,76.0
18757,02088518,CN-05,77.5
18758,06012705,JP-11,87.3
18759,04018070,BO-01,85.6
18760,01079996,AT-31,63.8
18761,03080165,EM-31,56.0
18762,02027352,JS-09,71.4
18763,01068571,PY-01,89.6
18764,05030499,BS-52,81.7
18765,05010397,MG-13,72.6
18766,08033279,MC-37,59.3
18767,01019846,FR-05,65.9
18768,07012474,EE-29,80.7
18769,04031985,MC-18,89.2
18770,04087024,MM-10,62.6
18771,02020140,BS-52,72.2
18772,07028067,AC-20,
18773,09087252,BS-02,81.8
18774,07096700,NC-11,66.2
18775,04031985,AC-03,
18776,02089276,EE-40,73.3
18777,06029824,ER-01,83.8
18778,01037434,EG-06,61.6
18779,02086995,IS-01,80.5
18780,03075338,CI-01,81.3
18781,07084759,BO-05,65.3
18782,05099534,CE-30,76.0
18783,08047813,EL-30,82.9
18784,01018475,MM-25,56.7
18785,08044421,JS-28,56.8
18786,01070270,CI-01,91.5
18787,03056662,JP-26,72.3
18788,08042737,JS-09,
18789,02089993,CI-01,82.3
18790,02077226,ML-05,52.5
18791,02088518,EN-26,77.8
18792,09048091,LW-05,84.7
18793,03079573,CS-13,82.6
18794,07044421,EL-30,70.6
18795,02087288,IF-32,72.0
18796,03064742,MG-13,65.3
18797,04050790,EP-06,68.5
18798,05012228,BS-02,100.0
18799,06088255,ER-01,69.2
18800,06041260,EE-40,60.1
18801,06050027,BM-02,
18802,04093652,EE-61,74.3
18803,07035901,BM-43,54.5
18804,08033134,LT-01,61.3
18805,06065382,EL-30,70.3
18806,03040175,MG-13,80.0
18807,02066535,LT-01,64.1
18808,07099042,EL-27,82.7
18809,04026621,MG-25,
18810,03020253,LW-26,79.0
18811,09081739,MM-66,76.0
18812,09098143,MG-01,59.7
18813,07057815,MG-81,59.1
18814,05099534,LW-05,72.5
18815,09073750,EE-61,43.8
18816,02088469,MT-01,64.9
18817,07073965,IF-03,64.1
18818,06012705,MT-07,82.9
18819,04062691,LT-01,76.6
18820,02089691,MM-10,
18821,07065468,PY-38,89.0
18822,07082778,CS-11,78.9
18823,01044017,BM-02,
18824,04047306,JP-11,67.2
18825,01019245,MC-20,90.4
18826,04052293,SO-01,100.0
18827,08050314,CN-05,80.8
18828,08024586,LW-05,79.3
18829,08038007,AT-31,72.3
18830,06035344,JS-28,78.4
18831,08081931,ID-22,92.5
18832,07081966,EL-30,80.2
18833,07082778,JS-09,77.3
18834,05033082,JP-16,82.3
18835,07069853,PY-36,77.6
18836,06041563,MM-25,100.0
18837,08010030,CE-03,85.4
18838,07046860,MM-93,69.9
18839,07030039,EM-31,85.8
18840,04018490,FA-54,69.1
18841,04017472,MG-81,86.0
18842,06041260,AT-36,
18843,09051974,EE-61,66.3
18844,09019807,MR-02,61.0
18845,08010030,CE-19,77.0
18846,01014586,ID-22,84.4
18847,08021480,MR-04,96.7
18848,08045054,SO-55,
18849,05025933,FA-54,76.2
18850,07072132,FR-05,78.7
18851,07057396,IF-03,
18852,02018055,MT-01,69.0
18853,02056645,MC-20,70.9
18854,01077992,IT-44,58.1
18855,05029102,MT-26,68.9
18856,05016498,EP-09,88.6
18857,09091934,EE-82,64.9
18858,01013510,CE-03,72.6
18859,03061607,ID-04,73.6
18860,06076543,CE-19,70.2
18861,01029406,MC-37,72.0
18862,02047674,CN-05,83.0
18863,02037026,MT-01,65.0
18864,09032856,EN-26,
18865,01070997,PY-49,75.6
18866,03028515,BO-17,75.4
18867,07057815,MC-20,75.6
18868,08047813,PY-02,95.4
18869,06086790,JP-16,86.5
18870,01031476,EE-33,71.6
18871,07015650,SO-55,81.4
18872,02094825,AS-40,82.2
18873,03024874,MR-04,72.2
18874,06054260,EN-26,64.1
18875,06086271,CE-19,76.7
18876,08099286,EP-06,83.7
18877,05058022,LW-32,51.3
18878,05019525,MT-21,74.7
18879,02086241,BO-05,81.0
18880,02089691,MG-25,77.3
18881,03095871,SA-01,78.5
18882,06042202,MR-02,82.3
18883,07046428,AT-06,72.4
18884,06013048,AC-24,63.3
18885,02094575,EL-02,74.3
18886,09070260,EG-65,73.1
18887,01079386,MM-25,58.4
18888,06090136,EL-30,100.0
18889,02039045,PY-36,80.9
18890,06087558,CS-13,81.0
18891,04074973,PY-05,70.3
18892,01042130,MG-81,59.0
18893,06011664,BS-52,83.5
18894,07024946,EE-82,
18895,05063475,AT-31,
18896,06087558,MG-23,64.0
18897,07055667,IS-01,67.7
18898,05032593,MC-09,72.4
18899,05019525,CN-05,80.8
18900,07035901,ML-05,80.2
18901,09098143,CN-01,68.2
18902,04097576,CE-03,57.7
18903,08086874,EG-06,74.0
18904,06076952,BO-01,60.3
18905,06027838,EE-29,70.4
18906,06096451,MM-66,85.9
18907,02095918,JP-26,93.5
18908,08059789,BO-17,73.7
18909,07095121,NC-11,70.2
18910,08058270,SO-55,84.0
18911,02098531,SO-55,81.4
18912,05025057,MR-04,77.4
18913,04031985,MC-09,83.3
18914,01032709,AC-20,73.2
18915,07095121,ID-22,80.4
18916,09097184,EE-40,80.1
18917,06059017,EG-03,84.0
18918,07081966,CS-13,
18919,03026173,JP-16,75.1
18920,04040766,CS-11,94.0
18921,09068313,EL-04,65.7
18922,08029061,MG-81,63.3
18923,07035567,MG-25,91.6
18924,04046201,JP-16,61.8
18925,02088518,JP-16,74.1
18926,04018490,BS-52,79.4
18927,06091767,EP-06,71.1
18928,09036831,EP-06,69.6
18929,07097247,MT-01,60.7
18930,09072324,IT-44,89.0
18931,01048724,BO-17,83.4
18932,06074200,EE-13,72.6
18933,06069644,MT-01,64.5
18934,08057513,BM-02,70.8
18935,06011980,EE-61,87.5
18936,01011896,EE-40,
18937,05041925,CE-30,74.3
18938,07095207,EE-29,79.2
18939,06099227,MM-02,57.2
18940,09061790,MR-04,86.7
18941,02072382,EE-40,76.1
18942,03080234,MG-13,79.1
18943,08052292,SO-55,
18944,01026132,CN-01,87.6
18945,04073443,AT-06,69.9
18946,01081707,SA-06,72.9
18947,03029810,EG-27,80.8
18948,09068313,PY-02,79.1
18949,05085088,BM-02,80.0
18950,04037121,MC-20,79.0
18951,02071233,AT-22,71.4
18952,03020253,MG-01,68.8
18953,07056833,AT-31,64.6
18954,03095871,MR-04,69.9
18955,08096350,BS-37,
18956,03020253,BO-01,65.4
18957,08024279,AS-40,80.2
18958,09046233,PY-23,65.2
18959,07049622,MC-18,72.6
18960,01071023,EE-86,100.0
18961,01075029,FR-05,68.2
18962,05052073,EE-82,73.2
18963,01054955,MG-81,80.5
18964,08058270,PY-02,83.5
18965,01099962,BS-01,72.2
18966,06087558,MR-02,70.3
18967,01033386,IS-01,80.5
18968,08019001,AT-36,61.3
18969,02011192,MC-09,74.1
18970,05055745,EP-06,79.5
18971,09011448,SA-01,71.4
18972,08083740,MT-21,68.7
18973,04073790,BS-52,90.8
18974,08096625,CE-03,
18975,03059651,MM-25,78.8
18976,05063232,ER-05,79.3
18977,06055388,MM-66,65.3
18978,05033082,EG-06,57.1
18979,02078339,SA-06,65.8
18980,04018070,JS-28,82.8
18981,07083618,BS-01,70.9
18982,02074358,BS-16,70.3
18983,02014568,JS-28,92.2
18984,07072834,BS-31,56.1
18985,09059763,JP-26,69.8
18986,08017492,EL-30,84.2
18987,05039512,JP-26,69.9
18988,05015898,ER-01,60.4
18989,08096866,CI-10,87.3
18990,07057815,MG-23,78.9
18991,03086266,MT-07,57.3
18992,08024911,AC-20,84.9
18993,07076705,LW-32,80.4
18994,06011098,AC-20,87.0
18995,04031985,EP-09,82.3
18996,01051513,EP-03,56.6
18997,02038305,EL-30,60.0
18998,03095294,EG-06,85.1
18999,02019266,EL-30,76.1
19000,01028180,IS-14,69.8
19001,02060737,PY-23,61.0
19002,02065177,LW-26,69.9
19003,09063417,BS-37,73.0
19004,08089024,MM-66,80.5
19005,01099990,EP-08,61.3
19006,06048702,PY-38,92.1
19007,05085521,BS-01,62.3
19008,09011448,PY-38,75.2
19009,07026477,JS-09,75.4
19010,01011219,JS-09,67.6
19011,07015650,PY-49,75.8
19012,08096350,EP-08,68.8
19013,06068020,PY-25,68.5
19014,06020525,AC-03,73.9
19015,03020253,PY-05,
19016,07091634,AC-20,93.9
19017,06069644,JS-09,75.8
19018,03027321,BS-02,75.1
19019,05075857,AS-40,62.2
19020,08019651,MM-02,91.6
19021,04012923,PY-36,74.4
19022,09045789,JP-16,74.9
19023,08075498,EE-33,88.2
19024,04087024,LW-32,90.9
19025,09036831,BS-52,63.9
19026,02067825,MG-25,69.5
19027,05097628,EL-30,67.8
19028,04033242,ER-05,64.8
19029,05010397,CI-10,78.2
19030,09085773,MG-25,95.4
19031,06044300,MM-93,78.1
19032,02038305,EP-03,78.5
19033,02031517,AT-22,69.8
19034,07073164,MR-04,69.1
19035,02046348,LW-05,52.1
19036,06040361,IS-14,72.4
19037,04041154,CI-01,69.5
19038,03085128,IF-32,
19039,07055707,PY-49,85.5
19040,04078773,MG-81,66.4
19041,06068020,ID-22,69.2
19042,08067720,MG-23,
19043,09094366,BO-01,84.0
19044,03081604,AS-40,75.2
19045,08048596,ER-22,
19046,02020547,EE-86,85.5
19047,03080165,BS-52,88.7
19048,03028515,ID-22,77.8
19049,09087252,EE-29,88.4
19050,06035339,LW-26,83.5
19051,04083011,BO-05,76.6
19052,09070260,JS-02,
19053,03059404,MT-21,79.9
19054,07052981,LW-26,70.2
19055,07085325,SA-06,76.1
19056,06087643,EE-29,44.3
19057,05093315,CE-19,
19058,02094825,CS-11,74.3
19059,02078339,EE-33,82.1
19060,06087643,BM-43,63.7
19061,06034255,ML-05,87.1
19062,04070241,ER-05,62.7
19063,09099672,ML-05,83.2
19064,08052127,EG-27,59.1
19065,02029103,ER-22,73.3
19066,02091878,BS-23,
19067,08048596,IS-14,84.2
19068,07095207,EP-08,94.8
19069,02056761,IT-44,73.5
19070,06083268,BS-31,79.6
19071,05037414,JP-16,67.8
19072,01019846,BS-37,75.8
19073,05068455,PY-25,67.0
19074,02026771,EG-06,83.0
19075,06036617,PY-25,
19076,07047847,EL-02,76.5
19077,09096328,LW-26,88.6
19078,06014862,ER-05,59.4
19079,07047847,EG-06,68.9
19080,02057349,AT-06,80.0
19081,06099227,EG-06,78.1
19082,03045296,PY-49,78.8
19083,07067456,MT-07,70.2
19084,04018048,LW-05,81.0
19085,06083038,JS-28,61.8
19086,01056301,AT-21,75.9
19087,05033082,PY-02,62.4
19088,09084909,ER-22,74.3
19089,06014052,MC-20,
19090,01037434,MC-37,70.4
19091,09089900,IF-03,77.0
19092,08012361,CE-03,89.8
19093,01011402,BM-02,69.8
19094,09022743,MM-25,70.7
19095,05038778,IS-14,86.0
19096,08081931,AT-21,72.7
19097,01062467,BS-16,70.5
19098,06098713,IS-14,
19099,03095871,MR-02,80.6
19100,07066663,MC-18,83.8
19101,09039273,MT-21,77.9
19102,02058463,JP-11,56.2
19103,03080234,MT-07,62.8
19104,06083736,LT-01,83.3
19105,03034162,CS-13,71.0
19106,06076952,SO-01,88.4
19107,02078416,CI-10,79.7
19108,06090757,MM-93,90.2
19109,09072958,EN-26,70.4
19110,06060492,PY-01,94.9
19111,02020140,SO-55,
19112,06021270,MG-25,78.6
19113,04053616,EG-06,74.5
19114,03053523,MT-21,
19115,02053037,EL-27,56.1
19116,03041683,MG-25,65.6
19117,04031985,BM-02,69.6
19118,07025848,ID-22,80.6
19119,02077226,ID-04,
19120,08051948,FA-54,69.8
19121,02074357,EG-03,
19122,06036617,AC-20,84.3
19123,05058248,MM-25,67.1
19124,06011098,EG-27,
19125,04039231,IF-32,76.4
19126,07011458,EP-06,75.5
19127,08067720,LW-32,71.7
19128,04094849,AT-21,62.5
19129,04026873,JP-20,55.6
19130,08047813,EE-61,80.4
19131,04056711,JP-16,83.5
19132,02066535,AT-36,79.2
19133,03074658,MT-28,71.8
19134,07082361,EE-61,76.7
19135,08050841,BO-17,78.1
19136,04049528,MT-07,82.0
19137,09011968,EG-27,87.0
19138,05034855,CI-01,90.1
19139,06044567,CE-30,54.7
19140,03074658,MM-02,83.8
19141,06068020,PY-04,58.6
19142,02014568,MC-09,73.5
19143,05077130,AS-40,68.9
19144,04081824,AS-40,81.3
19145,03074658,EP-09,77.6
19146,08056892,MC-20,72.3
19147,08096866,PY-49,79.0
19148,07046930,EL-02,69.3
19149,05031283,MT-07,83.4
19150,08021001,BS-01,82.1
19151,04060585,BS-02,93.6
19152,09018279,BS-16,80.1
19153,03085128,JS-28,65.3
19154,04039143,IS-01,75.0
19155,08091839,EE-82,70.3
19156,08019798,CI-10,71.5
19157,09050247,JP-16,74.3
19158,03086288,FA-54,66.9
19159,03073426,ER-01,72.4
19160,03080234,EE-29,74.7
19161,08087260,CE-19,76.5
19162,09046805,SA-06,98.6
19163,04075338,IS-01,93.4
19164,01099818,EP-06,82.9
19165,04059565,MM-25,79.7
19166,02017610,JP-11,58.9
19167,06035676,CI-10,82.6
19168,09052629,EL-30,75.4
19169,07065468,IS-01,75.5
19170,09070915,RS-02,57.9
19171,02066890,PY-23,
19172,09073619,LT-01,79.7
19173,01026524,BO-17,58.0
19174,09039752,SO-55,84.6
19175,06089284,EP-06,58.5
19176,03076960,PY-38,64.0
19177,02095918,EP-03,58.5
19178,07063569,EL-27,
19179,03093911,EG-06,86.3
19180,07035242,MG-81,79.8
19181,06075822,SO-55,77.0
19182,02087213,NE-01,
